idx,sucess,R,value,budget,agent_sum_distance,air_distance,delivery_time,directed_transmission,K,file
6256,True,7.865721240913718,2.3658169829441342,5.644280114151993,17.79999999999997,3.5454037382013395,37,False,5,evaluation_states_K5_n10000.csv
6257,True,8.461109861892137,2.8808031624802926,5.943663452237175,15.999999999999975,4.602958768114243,32,False,5,evaluation_states_K5_n10000.csv
6258,True,6.823250693709628,1.993727860990239,5.137869534730555,18.799999999999983,2.282577402561282,34,False,5,evaluation_states_K5_n10000.csv
6259,True,8.912974689922061,2.3575726057457835,6.175806084870184,21.599999999999962,4.857764058098584,37,False,5,evaluation_states_K5_n10000.csv
6260,True,8.156300072331032,2.472653558235748,5.789471427379528,17.19999999999997,4.862117207307318,39,False,5,evaluation_states_K5_n10000.csv
6261,True,5.742173127332254,2.338388731083542,4.636613379461573,11.399999999999995,3.728113579874412,33,False,5,evaluation_states_K5_n10000.csv
6262,True,5.742608581968916,2.2742760696605693,4.63681038307573,15.999999999999979,3.8021208341979764,21,False,5,evaluation_states_K5_n10000.csv
6263,True,6.4170557234464,2.1722910758681877,4.946676789189773,14.599999999999984,3.559003465041197,36,False,5,evaluation_states_K5_n10000.csv
6264,True,5.1914978355418615,1.9840506502703883,4.390643541663965,15.39999999999998,3.3323208953017223,26,False,5,evaluation_states_K5_n10000.csv
6265,True,7.627680873934665,1.5475653879896107,5.526650787760376,24.799999999999955,5.197518756332796,41,False,5,evaluation_states_K5_n10000.csv
6266,True,5.803823967917925,2.1710051301660993,4.664544081406287,15.199999999999978,3.8827992762592087,27,False,5,evaluation_states_K5_n10000.csv
6267,True,5.755707259034527,2.1929574523337623,4.642738189277766,14.199999999999982,4.566286745600951,29,False,5,evaluation_states_K5_n10000.csv
6268,True,5.685224324206712,2.230266408540725,4.610883260519795,13.799999999999986,4.044426632267804,28,False,5,evaluation_states_K5_n10000.csv
6269,True,7.919191051089792,1.7064923506819396,5.670864929673221,20.59999999999996,4.309989451471746,50,False,5,evaluation_states_K5_n10000.csv
6270,True,7.712918285739276,3.0829639615777675,5.5686358113177,13.399999999999988,3.258199635831206,26,False,5,evaluation_states_K5_n10000.csv
6271,True,5.84242532244583,2.1152745689741455,4.682072595717227,14.199999999999989,3.8405140282057064,33,False,5,evaluation_states_K5_n10000.csv
6272,True,8.078135841173722,1.416607051092425,5.750242785616001,23.39999999999995,3.5937861266485944,54,False,5,evaluation_states_K5_n10000.csv
6273,True,6.097050814746945,1.8704394563190474,4.798473234493543,14.59999999999998,3.8403498326575836,44,False,5,evaluation_states_K5_n10000.csv
6274,True,8.2998313165434,2.5754593369912304,5.861837505904177,17.999999999999968,3.69799441090073,34,False,5,evaluation_states_K5_n10000.csv
6275,True,5.326424351768928,2.262576119693758,4.450326886192881,13.599999999999984,4.241224821955794,24,False,5,evaluation_states_K5_n10000.csv
6276,False,8.556249159863196,1.5792036712675563,5.9921871954638535,19.999999999999964,3.327673238873866,64,False,5,evaluation_states_K5_n10000.csv
6277,True,6.506226421454827,1.8203662020112474,4.9883543162994535,16.799999999999976,4.508140802164487,42,False,5,evaluation_states_K5_n10000.csv
6278,True,7.162992496592423,2.519444679905622,5.300422621335855,15.399999999999977,4.77386518731455,30,False,5,evaluation_states_K5_n10000.csv
6279,True,8.574686844121054,0.968112572281564,6.001612747022845,28.399999999999938,4.734017119469348,61,False,5,evaluation_states_K5_n10000.csv
6280,True,7.807241380891533,1.457992543361339,5.615272518945286,24.799999999999958,4.595752229222564,45,False,5,evaluation_states_K5_n10000.csv
6281,True,8.196141350077866,2.363278298927294,5.809515716413588,16.399999999999977,4.028820316282975,43,False,5,evaluation_states_K5_n10000.csv
6282,True,7.124994964129025,2.223183419135433,5.282122888427123,17.399999999999974,3.784535402434552,35,False,5,evaluation_states_K5_n10000.csv
6283,True,7.123735136615903,2.7147432777630294,5.281516666553964,14.59999999999998,4.89803595329447,27,False,5,evaluation_states_K5_n10000.csv
6284,True,7.909179470630802,2.734922609516236,5.665882710690178,16.599999999999973,3.8444070851897756,30,False,5,evaluation_states_K5_n10000.csv
6285,True,8.4221815378569,1.9355124264225412,5.923863255572121,19.79999999999996,4.491730966526413,49,False,5,evaluation_states_K5_n10000.csv
6286,True,7.391006325112574,2.4215569538284436,5.410866496348125,16.599999999999987,4.061960447885628,33,False,5,evaluation_states_K5_n10000.csv
6287,True,6.3015434248612845,2.6497754451663385,4.892933686794125,10.599999999999994,3.8646200365559746,31,False,5,evaluation_states_K5_n10000.csv
6288,True,7.162545276494422,2.6871455899255636,5.3002070638149545,15.399999999999977,4.711067999404115,26,False,5,evaluation_states_K5_n10000.csv
6289,True,8.886320168508808,1.7254518714681746,6.161994460610614,22.599999999999955,4.420260294731509,53,False,5,evaluation_states_K5_n10000.csv
6290,True,7.938018374560318,2.1022991341148884,5.6802399190754524,19.59999999999997,3.598039849964884,40,False,5,evaluation_states_K5_n10000.csv
6291,True,8.955083912524248,1.85656505484957,6.197656057426691,26.799999999999937,2.7894681263478205,41,False,5,evaluation_states_K5_n10000.csv
6292,True,7.861516513134182,1.3657410133596461,5.642192078508378,27.999999999999936,3.929325887651794,40,False,5,evaluation_states_K5_n10000.csv
6293,True,8.138646390691846,2.0389611524862787,5.7806003678916476,20.199999999999964,3.9893871669809378,43,False,5,evaluation_states_K5_n10000.csv
6294,True,7.033526010623881,2.3669567767605457,5.238194479398388,16.99999999999997,4.9975230515892095,30,False,5,evaluation_states_K5_n10000.csv
6295,True,7.815836894492101,1.7801696483484215,5.6195316610337915,21.199999999999967,4.706608200908033,46,False,5,evaluation_states_K5_n10000.csv
6296,True,6.534307677731266,1.9032005861317118,5.001513516347588,19.999999999999968,4.067053652429883,30,False,5,evaluation_states_K5_n10000.csv
6297,True,7.023263846718326,2.1672529438535055,5.233276897962869,16.599999999999973,3.902709035806526,38,False,5,evaluation_states_K5_n10000.csv
6298,True,6.738348111965268,2.4313971112688693,5.097622469899167,14.79999999999998,3.9873771981142045,31,False,5,evaluation_states_K5_n10000.csv
6299,True,6.078680235283842,3.014151254802994,4.79003002482095,9.8,3.2598161394812664,20,False,5,evaluation_states_K5_n10000.csv
6300,True,5.945457398765848,3.2511738401730437,4.729010476039564,6.600000000000003,3.9258543153720113,20,False,5,evaluation_states_K5_n10000.csv
6301,True,6.045908041026242,3.0362136633805763,4.774985216809153,10.2,4.503298297347326,18,False,5,evaluation_states_K5_n10000.csv
6302,True,5.39293954306159,1.8671622543215511,4.47988873492095,15.399999999999988,3.703734844875491,33,False,5,evaluation_states_K5_n10000.csv
