idx,R,value,budget,agent_sum_distance,delivery_time,directed_transmission,jammer_on,clustering_on,minimize_distance,K,file
7088,4.660074805757414,2.044752082910696,3.187549744464989,3.2000000000000006,19,False,True,True,False,4,Evaluation/Evaluation_states/Data/evaluation_states_K4_n10000.csv
7089,5.192476813119994,2.1076772554846808,3.401890587123627,4.8000000000000025,20,False,True,True,False,4,Evaluation/Evaluation_states/Data/evaluation_states_K4_n10000.csv
7090,4.197734175499655,2.252043180484957,3.005921453046057,1.5999999999999999,15,False,True,True,False,4,Evaluation/Evaluation_states/Data/evaluation_states_K4_n10000.csv
7091,7.273433672531704,2.802771708061363,4.292954043145555,3.735923296921576,24,False,True,True,False,4,Evaluation/Evaluation_states/Data/evaluation_states_K4_n10000.csv
7092,4.809168772406148,1.6649147451755226,3.2470138282077103,7.271217231096559,24,False,True,True,False,4,Evaluation/Evaluation_states/Data/evaluation_states_K4_n10000.csv
7093,5.169716508358194,1.6879071243381643,3.3926138103671746,8.387595077873808,24,False,True,True,False,4,Evaluation/Evaluation_states/Data/evaluation_states_K4_n10000.csv
7094,4.708262337292169,2.2086539785512533,3.2067210363272363,3.2000000000000006,17,False,True,True,False,4,Evaluation/Evaluation_states/Data/evaluation_states_K4_n10000.csv
7095,5.935927834049606,2.3628688993868407,3.7104922396062237,3.5332562496100115,22,False,True,True,False,4,Evaluation/Evaluation_states/Data/evaluation_states_K4_n10000.csv
7096,5.58357902316506,2.0343094271094633,3.5628842881032012,6.400000000000004,21,False,True,True,False,4,Evaluation/Evaluation_states/Data/evaluation_states_K4_n10000.csv
7097,6.497386979453108,1.605672520272296,3.9507291105072655,8.800000000000002,35,False,True,True,False,4,Evaluation/Evaluation_states/Data/evaluation_states_K4_n10000.csv
7098,7.932288471016086,1.8280400478133054,4.5927624633818835,7.799999999999999,44,False,True,True,False,4,Evaluation/Evaluation_states/Data/evaluation_states_K4_n10000.csv
7099,5.003867769787541,2.4736563006268115,3.3253227219515837,3.225386294381377,14,False,True,True,False,4,Evaluation/Evaluation_states/Data/evaluation_states_K4_n10000.csv
7100,4.277436500870568,2.157327779665593,3.036933303731237,3.3802862251318615,13,False,True,True,False,4,Evaluation/Evaluation_states/Data/evaluation_states_K4_n10000.csv
7101,5.851473745289409,2.031318902797728,3.6748905688151408,4.800000000000001,25,False,True,True,False,4,Evaluation/Evaluation_states/Data/evaluation_states_K4_n10000.csv
7102,5.665244714856218,2.3195829759460254,3.5968795409751597,3.5249484293564315,23,False,True,True,False,4,Evaluation/Evaluation_states/Data/evaluation_states_K4_n10000.csv
7103,6.468724158717828,2.379722682599784,3.93831524031074,4.391691378854646,25,False,True,True,False,4,Evaluation/Evaluation_states/Data/evaluation_states_K4_n10000.csv
7104,6.058305480336262,2.446873995358912,3.7623286220720367,5.532669024574456,20,False,True,True,False,4,Evaluation/Evaluation_states/Data/evaluation_states_K4_n10000.csv
7105,4.874730307935767,1.7461730903795822,3.2733000421496,7.800000000000006,22,False,True,True,False,4,Evaluation/Evaluation_states/Data/evaluation_states_K4_n10000.csv
7106,5.464309526828023,1.9188903016308463,3.51347039628064,6.908759029839752,25,False,True,True,False,4,Evaluation/Evaluation_states/Data/evaluation_states_K4_n10000.csv
7107,4.79767009209367,2.179244850446981,3.2424122345504003,2.5999999999999996,16,False,True,True,False,4,Evaluation/Evaluation_states/Data/evaluation_states_K4_n10000.csv
7108,4.524248533094815,1.9620193710477831,3.133756494259229,4.769186654477831,18,False,True,True,False,4,Evaluation/Evaluation_states/Data/evaluation_states_K4_n10000.csv
7109,6.857621867227734,2.1212269710789133,4.108119578313678,7.032392358057025,30,False,True,True,False,4,Evaluation/Evaluation_states/Data/evaluation_states_K4_n10000.csv
7110,5.190612304117966,1.9169470037876275,3.4011302580017406,4.200000000000002,23,False,True,True,False,4,Evaluation/Evaluation_states/Data/evaluation_states_K4_n10000.csv
7111,4.904878913021044,2.284409448832159,3.285416084574241,3.6000000000000005,17,False,True,True,False,4,Evaluation/Evaluation_states/Data/evaluation_states_K4_n10000.csv
7112,6.027787233460775,2.248384254455379,3.7493743192926536,5.0458679604466035,23,False,True,True,False,4,Evaluation/Evaluation_states/Data/evaluation_states_K4_n10000.csv
7113,6.157043329280876,2.327693326829433,3.804365648902093,4.400000000000001,22,False,True,True,False,4,Evaluation/Evaluation_states/Data/evaluation_states_K4_n10000.csv
7114,5.752144079219672,2.4293448868038023,3.633196961709821,3.790186747903832,20,False,True,True,False,4,Evaluation/Evaluation_states/Data/evaluation_states_K4_n10000.csv
7115,5.085850377471614,1.9501876479834723,3.358518788240863,4.136585739687659,25,False,True,True,False,4,Evaluation/Evaluation_states/Data/evaluation_states_K4_n10000.csv
7116,7.232014208747948,2.1534828965384807,4.27439053664418,8.055998879432392,29,False,True,True,False,4,Evaluation/Evaluation_states/Data/evaluation_states_K4_n10000.csv
7117,5.367081921238972,2.1209548543573713,3.473394811448401,3.8,23,False,True,True,False,4,Evaluation/Evaluation_states/Data/evaluation_states_K4_n10000.csv
7118,5.371696968882092,2.0975866642062737,3.475292868558303,2.6,24,False,True,True,False,4,Evaluation/Evaluation_states/Data/evaluation_states_K4_n10000.csv
7119,5.925906524563068,2.714950899587162,3.7062604419143095,2.0942323455839493,17,False,True,True,False,4,Evaluation/Evaluation_states/Data/evaluation_states_K4_n10000.csv
7120,4.267375929968939,1.9677434227095705,3.033011911376366,4.130635681460272,20,False,True,True,False,4,Evaluation/Evaluation_states/Data/evaluation_states_K4_n10000.csv
7121,6.603472334339722,2.3252040848361695,3.9968147537369134,7.600000000000003,22,False,True,True,False,4,Evaluation/Evaluation_states/Data/evaluation_states_K4_n10000.csv
7122,4.868995659218395,2.3240708017733738,3.270997432846824,3.2373047970131603,18,False,True,True,False,4,Evaluation/Evaluation_states/Data/evaluation_states_K4_n10000.csv
