idx,t,R,directed_transmission,jammer_on,agent1_x,agent1_y,agent1_phi,agent1_has_message,agent2_x,agent2_y,agent2_phi,agent2_has_message,agent3_x,agent3_y,agent3_phi,agent3_has_message,agent4_x,agent4_y,agent4_phi,agent4_has_message,agent5_x,agent5_y,agent5_phi,agent5_has_message,agent6_x,agent6_y,agent6_phi,agent6_has_message,agent7_x,agent7_y,agent7_phi,agent7_has_message,jammer_x,jammer_y,file_idx,file
11,10,9.81823055623084,False,True,0.9785190629373991,-0.7117016992759286,,True,4.093503272142509,-2.322658270992916,,False,5.369820300266002,-1.184860991266654,,False,5.77342347671939,-1.3225213952884582,,False,7.803956536755892,-3.2758359605951126,,False,8.946665506571517,-1.8378566250499235,,False,9.066842673381824,3.881565300521325,,False,3.256794283667649,-1.2916678014089233,1804,evaluation_states_K7_n10000.csv
12,11,9.81823055623084,False,True,1.1783229727450193,-0.7028474559097022,,True,4.093503272142509,-2.322658270992916,,False,5.369820300266002,-1.184860991266654,,False,5.77342347671939,-1.3225213952884582,,False,7.803956536755892,-3.2758359605951126,,False,8.946665506571517,-1.8378566250499235,,False,9.066842673381824,3.881565300521325,,False,3.28496213822279,-1.3876186845198173,1804,evaluation_states_K7_n10000.csv
13,12,9.81823055623084,False,True,1.3781268825526394,-0.6939932125434758,,True,4.093503272142509,-2.322658270992916,,False,5.369820300266002,-1.184860991266654,,False,5.77342347671939,-1.3225213952884582,,False,7.803956536755892,-3.2758359605951126,,False,8.946665506571517,-1.8378566250499235,,False,9.07621911863128,3.6817852157418756,,False,3.3131299927779305,-1.4835695676307112,1804,evaluation_states_K7_n10000.csv
14,13,9.81823055623084,False,True,1.5779307923602597,-0.6851389691772494,,True,4.093503272142509,-2.322658270992916,,False,5.369820300266002,-1.184860991266654,,False,5.77342347671939,-1.3225213952884582,,False,7.803956536755892,-3.2758359605951126,,False,8.946665506571517,-1.8378566250499235,,False,9.085595563880737,3.4820051309624263,,False,3.3412978473330712,-1.5795204507416052,1804,evaluation_states_K7_n10000.csv
15,14,9.81823055623084,False,True,1.77773470216788,-0.676284725811023,,True,4.073882278270552,-2.1236230565220175,,False,5.369820300266002,-1.184860991266654,,False,5.77342347671939,-1.3225213952884582,,False,7.784335542883935,-3.076800746124214,,False,8.946665506571517,-1.8378566250499235,,False,9.094972009130194,3.282225046182977,,False,3.3131299927779305,-1.4835695676307112,1804,evaluation_states_K7_n10000.csv
16,15,9.81823055623084,False,True,1.9775386119755003,-0.6674304824447965,,True,4.054261284398596,-1.9245878420511189,,False,5.369820300266002,-1.184860991266654,,False,5.77342347671939,-1.3225213952884582,,False,7.764714549011978,-2.8777655316533153,,False,8.946665506571517,-1.8378566250499235,,False,9.104348454379652,3.0824449614035276,,False,3.28496213822279,-1.3876186845198173,1804,evaluation_states_K7_n10000.csv
17,16,9.81823055623084,False,True,2.1773425217831206,-0.6585762390785701,,True,4.034640290526639,-1.7255526275802202,,False,5.369820300266002,-1.184860991266654,,False,5.77342347671939,-1.3225213952884582,,False,7.745093555140021,-2.6787303171824166,,False,8.946665506571517,-1.8378566250499235,,False,9.113724899629108,2.8826648766240783,,False,3.256794283667649,-1.2916678014089233,1804,evaluation_states_K7_n10000.csv
18,17,9.81823055623084,False,True,2.3771464315907407,-0.6497219957123437,,True,4.015019296654683,-1.5265174131093215,,False,5.369820300266002,-1.184860991266654,,False,5.77342347671939,-1.3225213952884582,,False,7.725472561268064,-2.479695102711518,,False,8.946665506571517,-1.8378566250499235,,False,9.123101344878567,2.682884791844629,,False,3.2286264291125084,-1.1957169182980294,1804,evaluation_states_K7_n10000.csv
19,18,9.81823055623084,False,True,2.5769503413983608,-0.6408677523461173,,True,3.9953983027827262,-1.3274821986384229,,False,5.369820300266002,-1.184860991266654,,False,5.77342347671939,-1.3225213952884582,,False,7.705851567396108,-2.2806598882406193,,False,8.946665506571517,-1.8378566250499235,,False,9.132477790128023,2.4831047070651797,,False,3.2004585745573677,-1.0997660351871354,1804,evaluation_states_K7_n10000.csv
20,19,9.81823055623084,False,True,2.776754251205981,-0.632013508979891,,True,3.9757773089107697,-1.1284469841675242,,False,5.369820300266002,-1.184860991266654,,False,5.77342347671939,-1.3225213952884582,,False,7.686230573524151,-2.0816246737697206,,False,8.946665506571517,-1.8378566250499235,,False,9.141854235377481,2.2833246222857304,,False,3.172290720002227,-1.0038151520762415,1804,evaluation_states_K7_n10000.csv
