idx,t,R,directed_transmission,jammer_on,agent1_x,agent1_y,agent1_phi,agent1_has_message,agent2_x,agent2_y,agent2_phi,agent2_has_message,agent3_x,agent3_y,agent3_phi,agent3_has_message,agent4_x,agent4_y,agent4_phi,agent4_has_message,agent5_x,agent5_y,agent5_phi,agent5_has_message,agent6_x,agent6_y,agent6_phi,agent6_has_message,agent7_x,agent7_y,agent7_phi,agent7_has_message,agent8_x,agent8_y,agent8_phi,agent8_has_message,agent9_x,agent9_y,agent9_phi,agent9_has_message,agent10_x,agent10_y,agent10_phi,agent10_has_message,jammer_x,jammer_y,file_idx,file
17,16,12.595403016047795,False,True,0.7791866469792372,-0.26491944126731676,,True,5.325494715604727,3.4724257628844626,,False,6.254998820040077,0.3937909470291297,,False,7.121679089744341,-1.6302387143291648,,False,8.053185646051965,0.8047416433824228,,False,11.832418470234837,1.665966456975431,,False,7.810712617496638,0.8310732748467448,,False,5.823571709645375,3.442175001918497,,False,8.85661018920882,-7.0452691683831,,False,6.143808625532854,-6.043884379985237,,False,3.6475255504481954,-0.44228175904503453,9,evaluation_states_K10_n10000.csv
18,17,12.595403016047795,False,True,0.9791676425636848,-0.26216237669550424,,True,5.320214270431375,3.2724954827896973,,False,6.254998820040077,0.3937909470291297,,False,7.121679089744341,-1.6302387143291648,,False,8.053185646051965,0.8047416433824228,,False,11.832418470234837,1.665966456975431,,False,7.810712617496638,0.8310732748467448,,False,5.823571709645375,3.442175001918497,,False,8.85661018920882,-7.0452691683831,,False,6.143808625532854,-6.043884379985237,,False,3.707689959328458,-0.5221581880093327,9,evaluation_states_K10_n10000.csv
19,18,12.595403016047795,False,True,1.1791486381481324,-0.2594053121236917,,True,5.314933825258023,3.072565202694932,,False,6.254998820040077,0.3937909470291297,,False,7.121679089744341,-1.6302387143291648,,False,8.053185646051965,0.8047416433824228,,False,11.832418470234837,1.665966456975431,,False,7.810712617496638,0.8310732748467448,,False,5.823571709645375,3.442175001918497,,False,8.85661018920882,-7.0452691683831,,False,6.143808625532854,-6.043884379985237,,False,3.76785436820872,-0.6020346169736308,9,evaluation_states_K10_n10000.csv
20,19,12.595403016047795,False,True,1.37912963373258,-0.2566482475518792,,True,5.30965338008467,2.8726349226001666,,False,6.254998820040077,0.3937909470291297,,False,7.121679089744341,-1.6302387143291648,,False,8.053185646051965,0.8047416433824228,,False,11.832418470234837,1.665966456975431,,False,7.810712617496638,0.8310732748467448,,False,5.823571709645375,3.442175001918497,,False,8.85661018920882,-7.0452691683831,,False,6.143808625532854,-6.043884379985237,,False,3.8280187770889826,-0.681911045937929,9,evaluation_states_K10_n10000.csv
21,20,12.595403016047795,False,True,1.5791106293170276,-0.2538911829800667,,True,5.304372934911318,2.6727046425054013,,False,6.254998820040077,0.3937909470291297,,False,7.121679089744341,-1.6302387143291648,,False,8.053185646051965,0.8047416433824228,,False,11.832418470234837,1.665966456975431,,False,7.810712617496638,0.8310732748467448,,False,5.823571709645375,3.442175001918497,,False,8.85661018920882,-7.0452691683831,,False,6.143808625532854,-6.043884379985237,,False,3.888183185969245,-0.7617874749022271,9,evaluation_states_K10_n10000.csv
22,21,12.595403016047795,False,True,1.7790916249014752,-0.25113411840825417,,True,5.299092489737966,2.472774362410636,,False,6.254998820040077,0.3937909470291297,,False,7.121679089744341,-1.6302387143291648,,False,8.053185646051965,0.8047416433824228,,False,11.832418470234837,1.665966456975431,,False,7.810712617496638,0.8310732748467448,,False,5.823571709645375,3.442175001918497,,False,8.85661018920882,-7.0452691683831,,False,6.143808625532854,-6.043884379985237,,False,3.9483475948495075,-0.8416639038665252,9,evaluation_states_K10_n10000.csv
23,22,12.595403016047795,False,True,1.9790726204859228,-0.24837705383644165,,True,5.293812044564613,2.2728440823158707,,False,6.254998820040077,0.3937909470291297,,False,7.121679089744341,-1.6302387143291648,,False,8.053185646051965,0.8047416433824228,,False,11.832418470234837,1.665966456975431,,False,7.810712617496638,0.8310732748467448,,False,5.823571709645375,3.442175001918497,,False,8.85661018920882,-7.0452691683831,,False,6.143808625532854,-6.043884379985237,,False,4.00851200372977,-0.9215403328308234,9,evaluation_states_K10_n10000.csv
24,23,12.595403016047795,False,True,2.1790536160703704,-0.24561998926462913,,True,5.288531599391261,2.0729138022211053,,False,6.254998820040077,0.3937909470291297,,False,7.121679089744341,-1.6302387143291648,,False,8.053185646051965,0.8047416433824228,,False,11.832418470234837,1.665966456975431,,False,7.810712617496638,0.8310732748467448,,False,5.823571709645375,3.442175001918497,,False,8.85661018920882,-7.0452691683831,,False,6.143808625532854,-6.043884379985237,,False,4.068676412610032,-1.0014167617951215,9,evaluation_states_K10_n10000.csv
25,24,12.595403016047795,False,True,2.379034611654818,-0.24286292469281662,,True,5.283251154217909,1.8729835221263402,,False,6.254998820040077,0.3937909470291297,,False,7.121679089744341,-1.6302387143291648,,False,8.053185646051965,0.8047416433824228,,False,11.832418470234837,1.665966456975431,,False,7.810712617496638,0.8310732748467448,,False,5.823571709645375,3.442175001918497,,False,8.85661018920882,-7.0452691683831,,False,6.143808625532854,-6.043884379985237,,False,4.128840821490295,-1.0812931907594197,9,evaluation_states_K10_n10000.csv
26,25,12.595403016047795,False,True,2.579015607239266,-0.2401058601210041,,True,5.277970709044557,1.6730532420315751,,False,6.254998820040077,0.3937909470291297,,False,7.121679089744341,-1.6302387143291648,,False,8.053185646051965,0.8047416433824228,,False,11.832418470234837,1.665966456975431,,False,7.810712617496638,0.8310732748467448,,False,5.823571709645375,3.442175001918497,,False,8.85661018920882,-7.0452691683831,,False,6.143808625532854,-6.043884379985237,,False,4.189005230370557,-1.1611696197237178,9,evaluation_states_K10_n10000.csv
27,26,12.595403016047795,False,True,2.778996602823714,-0.23734879554919158,,True,5.272690263871205,1.47312296193681,,False,6.254998820040077,0.3937909470291297,,False,7.121679089744341,-1.6302387143291648,,False,8.053185646051965,0.8047416433824228,,False,11.832418470234837,1.665966456975431,,False,7.810712617496638,0.8310732748467448,,False,5.823571709645375,3.442175001918497,,False,8.85661018920882,-7.0452691683831,,False,6.143808625532854,-6.043884379985237,,False,4.24916963925082,-1.241046048688016,9,evaluation_states_K10_n10000.csv
28,27,12.595403016047795,False,True,2.9789775984081617,-0.23459173097737906,,True,5.267409818697853,1.273192681842045,,False,6.254998820040077,0.3937909470291297,,False,7.121679089744341,-1.6302387143291648,,False,8.053185646051965,0.8047416433824228,,False,11.832418470234837,1.665966456975431,,False,7.810712617496638,0.8310732748467448,,False,5.823571709645375,3.442175001918497,,False,8.85661018920882,-7.0452691683831,,False,6.143808625532854,-6.043884379985237,,False,4.309334048131082,-1.320922477652314,9,evaluation_states_K10_n10000.csv
29,28,12.595403016047795,False,True,3.1789585939926095,-0.23183466640556655,,True,5.262129373524501,1.0732624017472798,,False,6.254998820040077,0.3937909470291297,,False,7.121679089744341,-1.6302387143291648,,False,8.053185646051965,0.8047416433824228,,False,11.832418470234837,1.665966456975431,,False,7.810712617496638,0.8310732748467448,,False,5.823571709645375,3.442175001918497,,False,8.85661018920882,-7.0452691683831,,False,6.143808625532854,-6.043884379985237,,False,4.369498457011344,-1.4007989066166122,9,evaluation_states_K10_n10000.csv
