idx,success,R,value,budget,agent_sum_distance,air_distance,delivery_time,directed_transmission,K,file
7152,True,7.393295097397195,4.623083622810233,8.401874234034462,18.599999999999973,5.211382490524546,23,True,7,evaluation_states_K7_n10000.csv
7153,True,9.927022899296617,3.904921543478054,9.885020362171389,32.59999999999992,5.414546892756378,34,True,7,evaluation_states_K7_n10000.csv
7154,True,7.424852754756801,5.083016989817182,8.419411902275373,15.39999999999998,4.753886514508663,21,True,7,evaluation_states_K7_n10000.csv
7155,True,10.10986713907358,5.015470911842138,9.997931621038667,22.199999999999957,7.5711329192296954,31,True,7,evaluation_states_K7_n10000.csv
7156,True,9.934334356504099,5.747123191122569,9.889520188379375,16.599999999999977,7.262206900254897,26,True,7,evaluation_states_K7_n10000.csv
7157,True,9.4706058952108,4.223891798565199,9.606625247259583,27.599999999999937,6.93693407221542,31,True,7,evaluation_states_K7_n10000.csv
7158,True,7.672656004719707,5.3870259805586755,8.557944314943974,12.199999999999992,6.147157614127689,21,True,7,evaluation_states_K7_n10000.csv
7159,True,10.813955828645891,3.520509315286626,10.440119602697603,36.199999999999974,5.874972413859377,40,True,7,evaluation_states_K7_n10000.csv
7160,True,9.993518898409786,4.645355478956885,9.925991831656784,26.39999999999994,7.230291836456059,30,True,7,evaluation_states_K7_n10000.csv
7161,True,9.839389030678428,4.706701879018668,9.8311847377059,23.199999999999953,7.191718757026117,32,True,7,evaluation_states_K7_n10000.csv
7162,True,7.802514412273031,5.366280408309906,8.631121304081077,15.39999999999998,5.886495760325055,21,True,7,evaluation_states_K7_n10000.csv
7163,True,8.899148686605923,2.4793737287612596,9.26501544563914,18.799999999999965,5.78944692234494,73,True,7,evaluation_states_K7_n10000.csv
7164,True,10.632199964713811,6.075332618416859,10.324847575366135,16.99999999999997,5.984213815302217,25,True,7,evaluation_states_K7_n10000.csv
7165,True,10.165006027918304,4.454992753760232,10.032136748248792,26.999999999999947,7.178926056267588,33,True,7,evaluation_states_K7_n10000.csv
7166,True,7.744347682995412,4.420876003942373,8.598294180410438,20.99999999999996,4.466058068554418,27,True,7,evaluation_states_K7_n10000.csv
7167,True,9.175055630978614,5.318500650067406,9.428983552422189,17.79999999999997,7.003802332513708,26,True,7,evaluation_states_K7_n10000.csv
7168,True,9.853173514068867,5.070000686725322,9.839640828897778,21.399999999999963,6.182312221252296,29,True,7,evaluation_states_K7_n10000.csv
7169,True,8.612640682237728,5.246757156398645,9.096655205143986,17.19999999999997,4.920455652782934,22,True,7,evaluation_states_K7_n10000.csv
7170,True,7.934297274989904,5.261844207499078,8.705791010795327,14.399999999999984,5.703948190458727,21,True,7,evaluation_states_K7_n10000.csv
7171,True,10.103201693905216,4.4937648321401795,9.99380162403791,21.599999999999955,6.784217688934184,40,True,7,evaluation_states_K7_n10000.csv
7172,True,7.765260477359291,5.365165619905314,8.610087353574963,14.999999999999982,6.11844865542908,19,True,7,evaluation_states_K7_n10000.csv
7173,True,9.239048853581828,4.651132597433763,9.467271486071242,23.399999999999952,5.214359834932431,27,True,7,evaluation_states_K7_n10000.csv
7174,True,10.687529632933362,5.126251304281022,10.359855573165841,23.39999999999995,5.756509898565951,31,True,7,evaluation_states_K7_n10000.csv
7175,True,8.354170065661261,4.184411734062949,8.946438403488322,21.99999999999996,5.869421494718136,31,True,7,evaluation_states_K7_n10000.csv
7176,True,7.947221492372491,4.086378454736755,8.713136167602892,22.399999999999952,6.350199803153651,32,True,7,evaluation_states_K7_n10000.csv
7177,True,7.965542220021794,4.687579470223824,8.7235550744068,19.599999999999962,5.356163985604807,25,True,7,evaluation_states_K7_n10000.csv
7178,True,8.572726454759227,5.2026004513342965,9.073354740916667,14.59999999999998,6.918183647500951,25,True,7,evaluation_states_K7_n10000.csv
7179,True,7.181649670921026,4.586154976566016,8.28486510781044,18.799999999999965,4.137992644285541,23,True,7,evaluation_states_K7_n10000.csv
7180,True,9.17268129408498,5.720400263352379,9.427564823224508,15.79999999999998,6.314605921485381,25,True,7,evaluation_states_K7_n10000.csv
7181,True,8.578575880277565,5.322593876406776,9.076767061965867,17.79999999999997,7.337122225785903,23,True,7,evaluation_states_K7_n10000.csv
7182,True,10.701319411110031,4.625145374803983,10.368591880029761,28.79999999999993,6.523922366316193,32,True,7,evaluation_states_K7_n10000.csv
7183,True,10.525880515820374,4.298580574602315,10.257780995756479,26.399999999999938,6.677746839840479,38,True,7,evaluation_states_K7_n10000.csv
7184,True,9.583300460970246,4.044925050241319,9.674905525428963,23.599999999999945,6.434654715031385,41,True,7,evaluation_states_K7_n10000.csv
7185,True,10.025911725128438,3.4350171256402344,9.945988580924308,36.199999999999974,6.92001818151479,35,True,7,evaluation_states_K7_n10000.csv
7186,True,10.23811118108614,3.2365625505561675,10.077598164349372,35.39999999999997,4.465645005242559,40,True,7,evaluation_states_K7_n10000.csv
7187,True,9.994936504366002,4.411374442950168,9.926866428653408,27.599999999999927,6.6690553850435155,32,True,7,evaluation_states_K7_n10000.csv
7188,True,10.215030477445634,5.014090312885493,10.06323144934671,24.399999999999945,7.3930574572119765,30,True,7,evaluation_states_K7_n10000.csv
7189,True,8.057702223472274,5.570029212968342,8.776086570065958,13.999999999999986,6.055411814226603,21,True,7,evaluation_states_K7_n10000.csv
7190,True,10.743368306624864,5.194490692775837,10.395259127388202,25.199999999999946,7.176036989733118,31,True,7,evaluation_states_K7_n10000.csv
7191,True,7.638350328149942,5.864272336282589,8.538679280115668,13.199999999999985,6.633826029611992,15,True,7,evaluation_states_K7_n10000.csv
7192,True,10.85333719277085,4.285580306566881,10.465198912264036,28.999999999999925,7.0718575788447415,38,True,7,evaluation_states_K7_n10000.csv
7193,True,9.842880212915961,4.948070397242825,9.833325977912956,22.799999999999955,5.0249849905758035,30,True,7,evaluation_states_K7_n10000.csv
7194,True,9.110873495866485,4.408446156407321,9.390679997313194,22.99999999999995,6.150273937588157,32,True,7,evaluation_states_K7_n10000.csv
7195,True,7.638286221567576,5.074338841950658,8.53864330587828,16.599999999999973,4.9813940797382745,20,True,7,evaluation_states_K7_n10000.csv
7196,True,8.846123496835677,3.57695618493431,9.233709746381578,29.599999999999927,4.689172844841526,32,True,7,evaluation_states_K7_n10000.csv
7197,True,8.970555338858647,4.986088493499967,9.307278637640872,20.599999999999962,5.6623042904375405,26,True,7,evaluation_states_K7_n10000.csv
7198,True,9.97360867867309,4.65913098661809,9.91371317933621,24.199999999999946,5.292425491439205,33,True,7,evaluation_states_K7_n10000.csv
7199,True,7.703346439105321,3.9245417040768893,8.575202757710514,24.999999999999943,5.2990381257310055,27,True,7,evaluation_states_K7_n10000.csv
7200,True,7.297662553021183,4.231123180399064,8.34887198519715,23.199999999999953,5.561422358214658,23,True,7,evaluation_states_K7_n10000.csv
7201,True,8.873366447629623,4.98277143861546,9.249785476377099,19.999999999999964,7.006119109166407,26,True,7,evaluation_states_K7_n10000.csv
7202,True,8.205112134979405,4.413652026736062,8.860528838733487,24.39999999999995,4.455995913719328,24,True,7,evaluation_states_K7_n10000.csv
7203,True,10.6875739705183,4.916903296466153,10.359883655360793,25.39999999999994,5.5806036224144915,32,True,7,evaluation_states_K7_n10000.csv
7204,True,10.529788723501976,3.9444720143217347,10.260241564012667,30.59999999999993,7.103312141267647,38,True,7,evaluation_states_K7_n10000.csv
7205,True,7.722344578027281,4.328508998234838,8.58589733856272,22.799999999999955,5.096836818087957,23,True,7,evaluation_states_K7_n10000.csv
7206,True,8.640603153245078,4.467433980203557,9.113001145047992,22.59999999999996,5.460759839548469,29,True,7,evaluation_states_K7_n10000.csv
7207,True,10.230709206738798,5.3178229388488205,10.072989389258542,22.399999999999956,7.960221494237789,27,True,7,evaluation_states_K7_n10000.csv
7208,True,7.650807223648776,4.310145789393201,8.545671474858999,21.199999999999957,6.570368085114451,25,True,7,evaluation_states_K7_n10000.csv
7209,True,8.853909012609698,4.568049063940304,9.238302089744685,22.399999999999956,6.802358190116689,29,True,7,evaluation_states_K7_n10000.csv
7210,True,8.935041696226541,5.0977488457174776,9.286244215841506,18.199999999999967,6.226623967191273,27,True,7,evaluation_states_K7_n10000.csv
