idx,t,R,directed_transmission,jammer_on,agent1_x,agent1_y,agent1_phi,agent1_has_message,agent2_x,agent2_y,agent2_phi,agent2_has_message,agent3_x,agent3_y,agent3_phi,agent3_has_message,agent4_x,agent4_y,agent4_phi,agent4_has_message,agent5_x,agent5_y,agent5_phi,agent5_has_message,agent6_x,agent6_y,agent6_phi,agent6_has_message,agent7_x,agent7_y,agent7_phi,agent7_has_message,file_idx,file
11,10,8.99154491235937,False,False,6.872895201221905,0.4846451579788816,,False,5.204564793386059,-1.933227343031627,,False,1.3184525012554285,0.23981376664811002,,True,1.7188444075841838,-0.28633382990776973,,True,6.517263580893216,-1.5735452328293982,,False,3.998884254483514,1.9143450417358496,,False,8.371674535329591,-0.6140646065849541,,False,520,n10000_evaluation_states_K1_to_10/evaluation_states_K7_n10000.csv
12,11,8.99154491235937,False,False,6.86011479833674,0.28505392244462047,,False,5.345983738759545,-1.7918035759715918,,False,1.5182099177759067,0.2299662012096783,,True,1.8960550851978342,-0.1936171877138741,,True,6.381590833716475,-1.426599985633322,,False,4.134712953719202,1.7675439366175942,,False,8.222690063785958,-0.7474948401861309,,False,520,n10000_evaluation_states_K1_to_10/evaluation_states_K7_n10000.csv
13,12,8.99154491235937,False,False,6.922473704836578,0.09502401221955992,,False,5.4874022162762905,-1.6503793410723153,,False,1.7124927953472846,0.1824881696310106,,True,2.074090534106988,-0.1024943095124249,,True,6.247331036285519,-1.278362652974512,,False,4.260367877416791,1.6119456070939362,,False,8.065237671557638,-0.8708185774858858,,False,520,n10000_evaluation_states_K1_to_10/evaluation_states_K7_n10000.csv
14,13,8.99154491235937,False,False,7.010885089771387,-0.08437338746591216,,False,5.628820558914556,-1.5089549713001775,,False,1.8970108555783785,0.10533192912802597,,True,2.2603824023729864,-0.02972522391995701,,True,6.113928055299088,-1.1293537785276053,,False,4.360904750183478,1.4390516013728147,,False,7.8914582258449615,-0.9698170837766128,,False,520,n10000_evaluation_states_K1_to_10/evaluation_states_K7_n10000.csv
15,14,8.99154491235937,False,False,7.107941313664067,-0.2592450243991039,,False,5.770239681313705,-1.367531381259992,,False,2.0733400839133687,0.010949710279415936,,True,2.458044399403946,0.0007663311360400493,,True,5.981248239395729,-0.9797006246956503,,False,4.411674519171846,1.2456028211831538,,False,7.771556187270742,-1.0042913493520218,,False,520,n10000_evaluation_states_K1_to_10/evaluation_states_K7_n10000.csv
16,15,8.99154491235937,False,False,7.204782877570983,-0.43423562843275654,,False,5.911659819490122,-1.226108806972281,,False,2.244168181142128,-0.09305875667016238,,True,2.6576924025247277,-0.011094311759026688,,True,5.849192404927539,-0.8294965748737166,,False,4.409285084002361,1.0456170951935952,,False,7.791296966968638,-0.9828873482352691,,False,520,n10000_evaluation_states_K1_to_10/evaluation_states_K7_n10000.csv
17,16,8.99154491235937,False,False,7.292313782579299,-0.6102066596217214,,False,6.053080379144458,-1.0846866541564841,,False,2.4128717532407746,-0.20047898177305784,,True,2.8558562950668076,-0.03813264921847543,,True,5.70942025889881,-0.6864450205496775,,False,4.3832717770345075,0.8473160415892429,,False,7.8675788542615,-0.9407836821681457,,False,520,n10000_evaluation_states_K1_to_10/evaluation_states_K7_n10000.csv
18,17,8.99154491235937,False,False,7.340591303712722,-0.7374187787241995,,False,6.194501010449664,-0.9432645729907877,,False,2.582326098728783,-0.3067109204507959,,True,3.0524975726933716,-0.07463207295902914,,True,5.553467376132086,-0.6626744438342081,,False,4.355799883138772,0.6492117886167701,,False,7.953895189462763,-0.896101146639009,,False,520,n10000_evaluation_states_K1_to_10/evaluation_states_K7_n10000.csv
19,18,8.99154491235937,False,False,7.341875527693924,-0.7876672466464102,,False,6.335921565888093,-0.8018424159591323,,False,2.7577532884389115,-0.4027593515176625,,True,3.246222062821779,-0.12433943583907581,,True,5.428780181307867,-0.6521185990802275,,False,4.3366845549606285,0.4501273737856692,,False,8.02766834705935,-0.8510089454060988,,False,520,n10000_evaluation_states_K1_to_10/evaluation_states_K7_n10000.csv
20,19,8.99154491235937,False,False,7.320615942670997,-0.8039393519229948,,False,6.477343921030793,-0.6604220586342691,,False,2.9455418184949247,-0.4715740881617986,,True,3.4375667829340717,-0.18253907574473505,,True,5.345439816613272,-0.6329128828279006,,False,4.335222236579512,0.25013271979473806,,True,8.080848666130166,-0.8126284536725478,,False,520,n10000_evaluation_states_K1_to_10/evaluation_states_K7_n10000.csv
21,20,8.99154491235937,False,False,7.158944437750727,-0.6862009788375176,,False,6.6187661918749,-0.5190016170096713,,False,3.086990223077929,-0.6129683908791383,,True,3.579110326130464,-0.0412400121264255,,True,5.467912857301105,-0.4747978794136879,,False,4.477862726774781,0.109941098943656,,True,7.907402487693886,-0.7214387950307326,,False,520,n10000_evaluation_states_K1_to_10/evaluation_states_K7_n10000.csv
22,21,8.99154491235937,False,False,7.040121410139949,-0.6978018241446293,,False,6.760241069303103,-0.37763380222612575,,False,3.2285158815150146,-0.7542853679340887,,True,3.7208458305500214,0.09986649653612198,,True,5.578122286565174,-0.458493505672538,,False,4.631725080606006,-0.017833609326466937,,True,7.7285012206421895,-0.7403073114162879,,False,520,n10000_evaluation_states_K1_to_10/evaluation_states_K7_n10000.csv
23,22,8.99154491235937,False,False,6.974079541214854,-0.7262621181528843,,False,6.902888984765581,-0.2374497367471643,,False,3.3702098749830594,-0.8954335603244901,,True,3.8636086449832088,0.23993354767633585,,True,5.6612154707978855,-0.4943439411679146,,True,4.827635695074278,-0.05807079534467599,,True,7.549603208004098,-0.7513512846833663,,False,520,n10000_evaluation_states_K1_to_10/evaluation_states_K7_n10000.csv
24,23,8.99154491235937,False,False,6.796969577936343,-0.6333532331768792,,False,7.068539072532747,-0.1253781149032286,,False,3.5084025128877365,-1.040011549067406,,True,4.007959527391294,0.37836339542604347,,True,5.803989287555709,-0.3542881049867558,,True,4.976451741782495,-0.19168884892329185,,True,7.394433403724318,-0.625167562120688,,False,520,n10000_evaluation_states_K1_to_10/evaluation_states_K7_n10000.csv
25,24,8.99154491235937,False,False,6.609923419622592,-0.5881196437660974,,True,7.246880357304642,-0.21590096365375072,,False,3.6436567408009624,-1.1873421088016212,,True,4.164321139895863,0.5030672291079747,,True,5.986744280671238,-0.2730439514042201,,True,5.1328055031470035,-0.3164025262292329,,True,7.197623396628981,-0.5939263448650957,,False,520,n10000_evaluation_states_K1_to_10/evaluation_states_K7_n10000.csv
26,25,8.99154491235937,False,False,6.75430615947608,-0.7265162637840729,,True,7.445054643193314,-0.19953231375379116,,True,3.774916150931064,-1.3382426298487593,,True,4.348689905250019,0.4325780847827184,,True,6.130267267916349,-0.4123319700283642,,True,5.273329373281758,-0.17408934369735796,,True,7.05908584311073,-0.4496788275028277,,True,520,n10000_evaluation_states_K1_to_10/evaluation_states_K7_n10000.csv
27,26,8.99154491235937,False,False,6.8885470191023,-0.8747707463699743,,True,7.586614473267838,-0.05824956707440429,,True,3.9148113998787806,-1.48117379972383,,True,4.4898828178232755,0.5742275162643901,,True,6.312723295954467,-0.3304186143862389,,True,5.131918893707335,-0.032657111633617564,,True,7.206887030932428,-0.5844186095959246,,True,520,n10000_evaluation_states_K1_to_10/evaluation_states_K7_n10000.csv
28,27,8.99154491235937,False,False,7.021447843459332,-1.024227666200477,,True,7.728753848534862,0.08245010598385139,,True,4.053940970596428,-1.6248503898557065,,True,4.630808045572543,0.7161432665665219,,True,6.508216398028137,-0.32946437512955884,,True,4.9905092325375,0.10877593870410393,,True,7.386813105090249,-0.6717490615480043,,True,520,n10000_evaluation_states_K1_to_10/evaluation_states_K7_n10000.csv
29,28,8.99154491235937,False,False,7.1507320829955985,-1.1768238175527617,,True,7.875870067396331,0.21793744173116156,,True,4.192167420645968,-1.7693960522143601,,True,4.771169012632478,0.8586171200484857,,True,6.700992863444092,-0.3463791168244861,,True,4.849106821071008,0.2502162371747346,,True,7.585730997778106,-0.6509723445642766,,True,520,n10000_evaluation_states_K1_to_10/evaluation_states_K7_n10000.csv
30,29,8.99154491235937,False,False,7.273578981963042,-1.3346485285903005,,True,8.061228653761818,0.29305198400220367,,True,4.32962147071341,-1.9146764160632208,,True,4.910702611478022,1.0019013647972044,,True,6.889143674639465,-0.359204149893143,,True,4.707732199360775,0.3916843125001893,,True,7.783625106073547,-0.6589251904059228,,True,520,n10000_evaluation_states_K1_to_10/evaluation_states_K7_n10000.csv
