idx,R,value,budget,agent_sum_distance,delivery_time,directed_transmission,jammer_on,clustering_on,minimize_distance,K,file
9062,5.753573844459566,3.3610819029698833,4.641772468896333,4.380602864294033,22,False,False,True,False,5,Evaluation/Evaluation_states/evaluation_states_K5_n10000.csv
9063,6.1517966690447246,3.0355233638725956,4.8236763889853105,9.65734189813683,23,False,False,True,False,5,Evaluation/Evaluation_states/evaluation_states_K5_n10000.csv
9064,7.565408140515473,2.6269290043545706,5.496073043267728,15.409212785537301,34,False,False,True,False,5,Evaluation/Evaluation_states/evaluation_states_K5_n10000.csv
9065,6.989030240295457,3.423637039822184,5.216888176231416,9.307179634057034,21,False,False,True,False,5,Evaluation/Evaluation_states/evaluation_states_K5_n10000.csv
9066,5.701311567491232,3.372551737126084,4.618144814555199,6.469796206582663,16,False,False,True,False,5,Evaluation/Evaluation_states/evaluation_states_K5_n10000.csv
9067,7.920485998961311,2.949454358527393,5.671509507269473,15.473734107542217,29,False,False,True,False,5,Evaluation/Evaluation_states/evaluation_states_K5_n10000.csv
9068,6.30758243448834,3.3755567387085685,4.895736503418144,6.442623904382261,22,False,False,True,False,5,Evaluation/Evaluation_states/evaluation_states_K5_n10000.csv
9069,5.610123029613037,3.3584513711763337,4.577054921412865,4.654209380859422,20,False,False,True,False,5,Evaluation/Evaluation_states/evaluation_states_K5_n10000.csv
9070,6.057207771952192,3.2012697098959375,4.780170083847312,5.946918181116313,25,False,False,True,False,5,Evaluation/Evaluation_states/evaluation_states_K5_n10000.csv
9071,6.395475280856803,2.4626644296389957,4.936615189168589,14.02544327777246,30,False,False,True,False,5,Evaluation/Evaluation_states/evaluation_states_K5_n10000.csv
9072,8.270542264939943,2.483964438765824,5.8470356031020705,21.064731754251742,32,False,False,True,False,5,Evaluation/Evaluation_states/evaluation_states_K5_n10000.csv
9073,6.607702900665997,3.0238860594356423,5.035984929441494,12.004906892073034,22,False,False,True,False,5,Evaluation/Evaluation_states/evaluation_states_K5_n10000.csv
9074,5.999472576214708,3.4993657993764002,4.753706284378449,5.4975105614912545,18,False,False,True,False,5,Evaluation/Evaluation_states/evaluation_states_K5_n10000.csv
9075,5.47501476901725,3.60638791021919,4.516493059062179,2.9800972589763846,16,False,False,True,False,5,Evaluation/Evaluation_states/evaluation_states_K5_n10000.csv
9076,8.21197790589257,3.417403678946795,5.8174923271535945,10.438417379845893,31,False,False,True,False,5,Evaluation/Evaluation_states/evaluation_states_K5_n10000.csv
9077,8.017483547389498,3.03703577085063,5.719890626111228,14.276697786532166,31,False,False,True,False,5,Evaluation/Evaluation_states/evaluation_states_K5_n10000.csv
9078,8.498984333795807,3.4111753839034793,5.962957920389467,9.030188267065514,36,False,False,True,False,5,Evaluation/Evaluation_states/evaluation_states_K5_n10000.csv
9079,6.769881937987064,3.850023390080546,5.11255318033016,6.443029123897626,15,False,False,True,False,5,Evaluation/Evaluation_states/evaluation_states_K5_n10000.csv
9080,7.894551297720563,3.3351649888365555,5.658606818545319,12.649909354627999,26,False,False,True,False,5,Evaluation/Evaluation_states/evaluation_states_K5_n10000.csv
9081,5.964541120087308,2.933684698633574,4.737728635303634,10.796228944824021,20,False,False,True,False,5,Evaluation/Evaluation_states/evaluation_states_K5_n10000.csv
9082,8.6871844953102,3.2606963915921012,6.059276217154427,9.230950400518797,42,False,False,True,False,5,Evaluation/Evaluation_states/evaluation_states_K5_n10000.csv
9083,6.9707260613605655,3.3750837471413204,5.208135395925779,9.059699675000525,23,False,False,True,False,5,Evaluation/Evaluation_states/evaluation_states_K5_n10000.csv
9084,6.474773830315129,3.112617831452712,4.973634771110009,7.53114998397843,28,False,False,True,False,5,Evaluation/Evaluation_states/evaluation_states_K5_n10000.csv
9085,7.398479397306737,3.870377036769308,5.414504582751519,5.83197771560576,22,False,False,True,False,5,Evaluation/Evaluation_states/evaluation_states_K5_n10000.csv
9086,8.561868988160752,3.505296500867204,5.995059364691185,9.468137487725082,34,False,False,True,False,5,Evaluation/Evaluation_states/evaluation_states_K5_n10000.csv
9087,8.309074969302467,3.1535388222381338,5.866512710104093,12.668491482249655,33,False,False,True,False,5,Evaluation/Evaluation_states/evaluation_states_K5_n10000.csv
9088,6.431118773061712,2.73034341710194,4.953238723100402,12.59358445260141,27,False,False,True,False,5,Evaluation/Evaluation_states/evaluation_states_K5_n10000.csv
9089,6.245358623784558,3.0049315895540327,4.866893685859354,9.255465618830991,25,False,False,True,False,5,Evaluation/Evaluation_states/evaluation_states_K5_n10000.csv
9090,8.589037488411993,3.3264650128830557,6.008953858184649,12.3063023076164,33,False,False,True,False,5,Evaluation/Evaluation_states/evaluation_states_K5_n10000.csv
9091,8.350623380933241,3.6607130305631044,5.887548816936546,8.856006940027187,29,False,False,True,False,5,Evaluation/Evaluation_states/evaluation_states_K5_n10000.csv
9092,7.975719942593264,3.2474721188358604,5.69903545784552,12.521547458767445,28,False,False,True,False,5,Evaluation/Evaluation_states/evaluation_states_K5_n10000.csv
9093,5.4600088265439295,3.8224571499894786,4.509790151380767,1.7532213634598963,13,False,False,True,False,5,Evaluation/Evaluation_states/evaluation_states_K5_n10000.csv
9094,5.819390660094096,3.1041865459670093,4.671609036447533,9.209619340908025,18,False,False,True,False,5,Evaluation/Evaluation_states/evaluation_states_K5_n10000.csv
9095,5.0512286860669375,2.6152206403340266,4.328998955951927,11.202217147734252,18,False,False,True,False,5,Evaluation/Evaluation_states/evaluation_states_K5_n10000.csv
9096,5.01499505497851,3.4660179456700897,4.313141836880857,2.894622520938923,15,False,False,True,False,5,Evaluation/Evaluation_states/evaluation_states_K5_n10000.csv
9097,5.880895122290989,3.3940689918475764,4.699572250525912,6.674815356127976,17,False,False,True,False,5,Evaluation/Evaluation_states/evaluation_states_K5_n10000.csv
9098,5.6725022946803785,3.4185131750032167,4.605144533432989,4.872055036786226,18,False,False,True,False,5,Evaluation/Evaluation_states/evaluation_states_K5_n10000.csv
9099,5.630287630630103,2.95954718226245,4.586126249955594,8.004609334570132,23,False,False,True,False,5,Evaluation/Evaluation_states/evaluation_states_K5_n10000.csv
9100,8.18820704972128,2.737912533097534,5.805521305040477,16.89162665795387,33,False,False,True,False,5,Evaluation/Evaluation_states/evaluation_states_K5_n10000.csv
9101,7.827826612313898,3.698730564550166,5.625475227449355,7.358371462621656,27,False,False,True,False,5,Evaluation/Evaluation_states/evaluation_states_K5_n10000.csv
9102,5.703602353341168,3.3233970254984686,4.619179281334818,4.25525886411821,23,False,False,True,False,5,Evaluation/Evaluation_states/evaluation_states_K5_n10000.csv
9103,7.408352011279364,3.101783163612013,5.4193126121251,11.626014638247385,29,False,False,True,False,5,Evaluation/Evaluation_states/evaluation_states_K5_n10000.csv
9104,5.124890304558688,3.1176163504423835,4.361320193179089,6.954629804398977,16,False,False,True,False,5,Evaluation/Evaluation_states/evaluation_states_K5_n10000.csv
9105,7.527168378432637,3.2375703785381713,5.477336224001917,7.405547515491362,35,False,False,True,False,5,Evaluation/Evaluation_states/evaluation_states_K5_n10000.csv
9106,5.603699349094192,3.63626205951182,4.574166917400664,3.6456993282000574,15,False,False,True,False,5,Evaluation/Evaluation_states/evaluation_states_K5_n10000.csv
9107,7.03126806317831,3.078395015332744,5.237112293212125,10.68135272429581,28,False,False,True,False,5,Evaluation/Evaluation_states/evaluation_states_K5_n10000.csv
9108,6.107927239641228,3.041707304634609,4.8034754063609855,9.664941939254756,22,False,False,True,False,5,Evaluation/Evaluation_states/evaluation_states_K5_n10000.csv
9109,5.824500556697505,2.968273937804425,4.673929267246114,9.512391625734974,21,False,False,True,False,5,Evaluation/Evaluation_states/evaluation_states_K5_n10000.csv
9110,7.679728837700189,3.483707135435531,5.552269837774824,8.304255703729334,29,False,False,True,False,5,Evaluation/Evaluation_states/evaluation_states_K5_n10000.csv
9111,6.675425726525416,2.8588132957745103,5.067891728207265,11.7391018841177,29,False,False,True,False,5,Evaluation/Evaluation_states/evaluation_states_K5_n10000.csv
9112,6.087605840361682,3.4830638317096234,4.794131399329759,4.189960225438873,23,False,False,True,False,5,Evaluation/Evaluation_states/evaluation_states_K5_n10000.csv
9113,8.024112159345119,3.1108765705035335,5.723204045499717,10.146823650380489,38,False,False,True,False,5,Evaluation/Evaluation_states/evaluation_states_K5_n10000.csv
9114,8.991705138175945,3.018734974417278,6.21668840124096,17.64623556244834,33,False,False,True,False,5,Evaluation/Evaluation_states/evaluation_states_K5_n10000.csv
9115,5.27817323872082,3.0290079337814393,4.4289399513544225,5.3580125142192925,24,False,False,True,False,5,Evaluation/Evaluation_states/evaluation_states_K5_n10000.csv
9116,7.571282425988374,3.039438542291675,5.498954039937126,13.225999845355947,28,False,False,True,False,5,Evaluation/Evaluation_states/evaluation_states_K5_n10000.csv
9117,8.723134967284132,2.2334572155930887,6.077759106246692,20.29937964440131,50,False,False,True,False,5,Evaluation/Evaluation_states/evaluation_states_K5_n10000.csv
9118,7.464409553789071,2.9206759981171793,5.4466515031623945,14.26303459280409,28,False,False,True,False,5,Evaluation/Evaluation_states/evaluation_states_K5_n10000.csv
9119,5.794539427998157,3.619606317172515,4.660332688902178,3.794628307563371,17,False,False,True,False,5,Evaluation/Evaluation_states/evaluation_states_K5_n10000.csv
9120,5.6529429491474,3.4706340599797363,4.596328165846362,4.508270886384513,18,False,False,True,False,5,Evaluation/Evaluation_states/evaluation_states_K5_n10000.csv
9121,8.449206692892968,3.1642096525382737,5.937605767738306,13.72137888013095,33,False,False,True,False,5,Evaluation/Evaluation_states/evaluation_states_K5_n10000.csv
9122,8.134448706505047,3.7388651382400298,5.778491966780728,5.589254536400165,32,False,False,True,False,5,Evaluation/Evaluation_states/evaluation_states_K5_n10000.csv
9123,7.653748801944991,2.9933201137073118,5.539474890716303,14.676892506537374,27,False,False,True,False,5,Evaluation/Evaluation_states/evaluation_states_K5_n10000.csv
9124,5.64213111288036,3.0551502490918514,4.591458154556781,8.202917717532765,20,False,False,True,False,5,Evaluation/Evaluation_states/evaluation_states_K5_n10000.csv
9125,8.100211644419042,3.284514729032387,5.761309175126355,12.053788191733258,30,False,False,True,False,5,Evaluation/Evaluation_states/evaluation_states_K5_n10000.csv
9126,5.948765375133718,2.977520986220119,4.7305211401538285,9.489870102135601,22,False,False,True,False,5,Evaluation/Evaluation_states/evaluation_states_K5_n10000.csv
9127,7.061828277850209,3.22976289386216,5.251768161912956,9.151421558227735,27,False,False,True,False,5,Evaluation/Evaluation_states/evaluation_states_K5_n10000.csv
9128,7.087744453451728,3.420671095571187,5.264212115895548,8.642643572741813,24,False,False,True,False,5,Evaluation/Evaluation_states/evaluation_states_K5_n10000.csv
9129,7.8950116081580735,3.4965913764603394,5.658835703969034,9.957754646374722,27,False,False,True,False,5,Evaluation/Evaluation_states/evaluation_states_K5_n10000.csv
9130,7.289538333818207,2.779562775426245,5.361584355279261,15.317238038353189,28,False,False,True,False,5,Evaluation/Evaluation_states/evaluation_states_K5_n10000.csv
9131,6.430950974716595,3.4433715898408432,4.953160402738294,5.918349298311925,23,False,False,True,False,5,Evaluation/Evaluation_states/evaluation_states_K5_n10000.csv
9132,5.252804681953246,3.400084612446645,4.417714984123451,3.4939259318475893,18,False,False,True,False,5,Evaluation/Evaluation_states/evaluation_states_K5_n10000.csv
9133,8.497192718178415,3.8040587354746798,5.962044540787764,8.262732081264728,28,False,False,True,False,5,Evaluation/Evaluation_states/evaluation_states_K5_n10000.csv
9134,5.496550569783929,3.5509586986767476,4.526120942835087,4.725392613963282,13,False,False,True,False,5,Evaluation/Evaluation_states/evaluation_states_K5_n10000.csv
9135,7.015658511427667,3.5813591533761326,5.2296338717169375,5.8846515070854855,25,False,False,True,False,5,Evaluation/Evaluation_states/evaluation_states_K5_n10000.csv
9136,8.84359453635409,2.7609891279964076,6.139886110199981,18.903052962486143,35,False,False,True,False,5,Evaluation/Evaluation_states/evaluation_states_K5_n10000.csv
9137,6.750321240589575,3.601858322648282,5.103289096003678,6.953012632175429,20,False,False,True,False,5,Evaluation/Evaluation_states/evaluation_states_K5_n10000.csv
9138,8.69421269179178,3.6096498707671065,6.062887442889304,8.753183645088424,34,False,False,True,False,5,Evaluation/Evaluation_states/evaluation_states_K5_n10000.csv
