idx,sucess,R,value,budget,agent_sum_distance,air_distance,delivery_time,directed_transmission,K,file
7074,True,4.3202005255740445,1.7456667188223154,2.3431001477142566,2.6000000000000005,3.591086687860229,10,True,3,evaluation_states_K3_n10000.csv
7075,True,4.31830965623857,1.5287935923669478,2.3424084564574117,4.600000000000001,3.65600610823427,18,True,3,evaluation_states_K3_n10000.csv
7076,True,5.902899855890423,1.5787264212913592,2.9450410578699087,6.400000000000004,3.9201800277468117,23,True,3,evaluation_states_K3_n10000.csv
7077,True,6.676930903426341,-1.1531581796099943,3.256139722729423,7.800000000000004,4.288207183524356,30,True,3,evaluation_states_K3_n10000.csv
7078,True,4.305903781213628,1.9435423365559006,2.3378719387137847,2.2,3.9452056964410414,8,True,3,evaluation_states_K3_n10000.csv
7079,True,6.546892781399773,-0.7867607777620615,3.2031074428564628,8.400000000000006,2.7364056133618635,42,True,3,evaluation_states_K3_n10000.csv
7080,True,6.421760807429605,2.3498526040677734,3.152368566226877,3.200000000000003,3.6238552658681895,15,True,3,evaluation_states_K3_n10000.csv
7081,True,6.151479138167858,1.8066178526221028,3.043753243310225,5.600000000000002,2.573130169872391,28,True,3,evaluation_states_K3_n10000.csv
7082,True,5.106683939277751,-1.361715202523241,2.6364818968852393,4.200000000000001,2.6709796585281524,21,True,3,evaluation_states_K3_n10000.csv
7083,True,6.851724321674084,2.181624723659968,3.327912379417442,4.6,4.974573081140645,13,True,3,evaluation_states_K3_n10000.csv
7084,True,6.336670532167258,1.8361435804978696,3.1180298199432896,5.800000000000003,3.8328822405646115,20,True,3,evaluation_states_K3_n10000.csv
7085,True,3.425648766187458,1.6247784826934755,2.023184705611669,1.6000000000000003,4.456505076323685,6,True,3,evaluation_states_K3_n10000.csv
7086,True,5.612856657336924,1.7766900842739903,2.831294798896767,4.600000000000001,2.587541090011011,23,True,3,evaluation_states_K3_n10000.csv
7087,True,6.468813683979253,1.6745649357480712,3.1714140400912365,6.8000000000000025,2.291907434148068,34,True,3,evaluation_states_K3_n10000.csv
7088,True,6.943706732179861,1.9294714177245247,3.365906508909,6.200000000000004,2.332596592991119,31,True,3,evaluation_states_K3_n10000.csv
7089,True,5.243020941222577,2.039853423254544,2.6884924958067966,2.6000000000000014,3.6539714494322006,11,True,3,evaluation_states_K3_n10000.csv
7090,True,5.625313143804338,-0.8523846897198935,2.8361481766671783,5.400000000000002,2.497655794059691,23,True,3,evaluation_states_K3_n10000.csv
7091,True,5.850647157375311,1.8303309299547366,2.9244352622478766,5.000000000000002,2.037876887161712,25,True,3,evaluation_states_K3_n10000.csv
7092,True,4.021327161959077,1.9054895600128698,2.234583798772809,1.4000000000000001,3.7040820172684548,6,True,3,evaluation_states_K3_n10000.csv
7093,True,4.018026368786753,1.6908075074388358,2.23339447051074,3.1999999999999997,3.9916379611910244,8,True,3,evaluation_states_K3_n10000.csv
7094,True,4.91018438045446,-1.0192092232462446,2.5621194291121863,5.000000000000003,3.6997989448499427,19,True,3,evaluation_states_K3_n10000.csv
7095,True,5.744275975338307,1.9922010135933967,2.882642507497328,3.6000000000000023,2.7730114250755564,19,True,3,evaluation_states_K3_n10000.csv
7096,True,3.2567700107804085,1.5629176885948692,1.964434766784747,1.7999999999999996,3.161294589471358,9,True,3,evaluation_states_K3_n10000.csv
7097,True,4.230521270556673,1.6217727213230069,2.3103670806525742,3.4000000000000004,3.1599767564873398,11,True,3,evaluation_states_K3_n10000.csv
